wnver::2.0
1740n 89264709 ROOT
2056n 3347558
2342n 1
2452n 11
2560n 75
2645n 18208452
3009n 16535011
3226n 16444535
4358n 5
4483n 1
4609n 63282
4740n 1
4824n 27126
5598n 15742416
6026n 14831856
12748n 914893
14510n 456784
16236n 55605971
17087n 1648021
17572n 5746632
18827n 828968
19244n 18112937
20136n 144953
20333n 13998379 ROOT
20486n 43785164 ROOT
20729n 12679800
21213n 341462
21668n 977115
22625n 8663352
23103n 1349941
23548n 688443
23929n 15270
24197n 3
24304n 1623
24568n 6869892 ROOT
25950n 6336618 ROOT
26194n 18837779 ROOT
26769n 10947060 ROOT
27371n 2316669 ROOT
27563n 10258654
27929n 19024476
28549n 15374357
28764n 15353477
29305n 13661394
29881n 2869094 ROOT
30147n 72922
30242n 32532
30427n 3
30589n 1685246
31097n 194
31291n 405
31461n 211
31742n 9
31905n 1292993
32426n 582
32510n 16
32620n 7135
32816n 5679858
33487n 5
33574n 131362
33885n 36
34175n 57
34333n 42003
34505n 230
34591n 18286
34839n 2324
35034n 146
35210n 1152
35372n 20170
35618n 159
35725n 1
35984n 19575
36142n 12460
36350n 13337
36630n 24662
36776n 3
36902n 731
37061n 119599
37473n 115723
37703n 4289
37919n 123562
38274n 1
38353n 120092
38749n 24101
39042n 49004
39290n 229642
39595n 7338
39813n 5090
40040n 87
40235n 5
40371n 276320
40767n 2094
41028n 25080
41298n 50937
41454n 4960
41632n 118737
42128n 61
42216n 14959
42466n 1
42660n 60
42855n 21919
43051n 79
43161n 63293
43335n 27175
43484n 73854
43766n 990
43938n 19181
44113n 19911
44454n 170
44639n 548
44745n 20
44898n 15
45018n 900
45146n 2696
45304n 26425
45593n 140
45801n 1314
45977n 18673
46167n 553
46282n 18457
46475n 361
46615n 620
46802n 46
46987n 13
47142n 182
47236n 133
47414n 2428
47580n 2641
47871n 93
48100n 46
48177n 26920
48485n 8
48605n 16
48689n 1507
48886n 188
48992n 14268
49341n 29
49496n 4807
49632n 634
49848n 2
50037n 2
50125n 923
50443n 2
50603n 3
50742n 2
50879n 355
51103n 1088
51343n 2
51480n 3
51704n 1424
51954n 1
52098n 82
52278n 4191
52449n 1842
52540n 2
52796n 48
53041n 27
53131n 414
53313n 1418
53402n 12
53537n 50661
53901n 32159
54150n 2441
54326n 29252
54502n 246
54669n 257
54763n 8034
54975n 220
55188n 408
55322n 1
55520n 21
55673n 326
55830n 117
55949n 1359
56112n 1
56257n 21708
56451n 71
56576n 1587
56792n 19371
56972n 3
57092n 679
57312n 1
57447n 202315
57655n 22108
57951n 274
58200n 188
58293n 167412
58659n 4664
58792n 225
58991n 278
59106n 20070
59391n 16079
59681n 9
59799n 734
59919n 1892
60001n 47
60139n 13666
60419n 7136
60639n 1
60780n 241288
60961n 13474
61200n 174717
61465n 2435
61674n 1
61775n 15923
61918n 1074
62029n 25108
62171n 10420
62446n 1637
62626n 3397
62789n 1343
63073n 16
63175n 1651
63321n 3448
63480n 1
63593n 449
63864n 12
64024n 109
64105n 1
64235n 13
64338n 48
64497n 1
64635n 64
64783n 1431
64882n 23
65061n 1994
65191n 1
65349n 59054
65894n 5
66048n 1
66212n 5964
66405n 6859
66617n 2912
66835n 170
66952n 432
67176n 110
67321n 244
67608n 1
67796n 937
67911n 2460
68175n 10
68407n 710
68507n 14995
68673n 12569
69119n 1
69270n 1162
69417n 7
69589n 2208
69711n 149
69871n 124
69995n 2534
70122n 63
70192n 27
70362n 5872
70683n 10251
70950n 12
71120n 59420
71557n 1
71682n 2359
71900n 178
72076n 4
72183n 139
72450n 1
72647n 19896
72841n 682
73027n 5176
73232n 4
73381n 3
73537n 34
73725n 4
73871n 104
74103n 1
74248n 1
74372n 20580
74597n 44795
74803n 108
75024n 1
75201n 14246
75465n 8421
75710n 5123
75852n 1
75976n 1
76118n 2743
76329n 2407
76445n 5494
76835n 32207
77023n 26726
77160n 2998
77304n 301
77550n 7762
77713n 3720
77984n 52
78237n 91
78383n 3
78561n 3360
78774n 86
79020n 250
79171n 1448
79483n 86
79640n 264
79890n 20
79997n 673
80152n 4870
80454n 824
80599n 184
80804n 28811
81044n 18455
81230n 547
81522n 58
81735n 1
81849n 19629
82093n 10153
82395n 1134
82601n 39
82718n 20393
83024n 40
83258n 203
83443n 39
83620n 4377
83742n 5898
83959n 1
84128n 11979
84362n 1667
84583n 898
84753n 556
84852n 275
85019n 6
85128n 5
85242n 42
85326n 2
85561n 32
85715n 1490
85994n 20
86178n 20
86344n 111
86465n 1
86692n 185
86821n 19514
87212n 18
87339n 5326
87564n 767
87824n 377
88112n 2590
88278n 6
88445n 514
88653n 369
88826n 26709
89197n 1
89295n 602
89535n 331
89667n 331
89837n 834
90044n 1
90175n 362
90293n 229
90446n 212
90568n 99
90672n 178
90828n 23119
91229n 44
91357n 5435
91561n 62769
91740n 1
91856n 1
91978n 11
92150n 230
92299n 223
92510n 314
92662n 7240
92896n 73
92967n 22909
93151n 1
93257n 7140
93603n 79
93717n 1109
93905n 12990
94124n 219
94284n 1
94422n 335
94523n 1651
94753n 4
94876n 92
95088n 11
95171n 608
95493n 45
95641n 2
95854n 14001
96005n 772
96133n 9661
96304n 9654
96451n 3
96548n 13398
96802n 10
96952n 1777
97112n 4228
97235n 55585
97670n 847
97858n 262
97965n 536
98173n 4006
98318n 94
98514n 9893
98798n 2986
98966n 32475
99398n 75
99560n 1139
99688n 55
99809n 1
99951n 30
100054n 8744
100205n 2
100338n 1
100529n 3482
100714n 118
100814n 6005
101060n 1
101178n 1
101331n 9
101478n 62
101594n 45
101740n 6
101927n 6995
102112n 1
102233n 3
102398n 2442
102756n 1
102863n 26
103054n 2
103143n 1
103273n 8
103531n 1
103667n 1624
103812n 740
103937n 2
104116n 1
104239n 1
104349n 1
104462n 36
104589n 66988
104951n 2749
105105n 817
105274n 469
105390n 55253
105827n 4822
106021n 596
106249n 57
106390n 216
106593n 29
106726n 28392
107166n 1137
107331n 8639
107587n 496
107795n 968
107962n 11247
108098n 80
108303n 177
108417n 231
108671n 12482
108982n 3350
109284n 15
109419n 1
109562n 2
109873n 200
110106n 78
110255n 867
110564n 1069
110741n 16
110848n 799
111029n 654
111375n 15
111506n 14
111593n 3
111698n 1
111864n 1130
112008n 51768
112333n 31253
112450n 756
112642n 14723
112949n 1395
113081n 75
113238n 215
113377n 933
113600n 7316
113800n 4612
114079n 2128
114338n 2029
114540n 784
114772n 702
114964n 2068
115095n 22798
115388n 2410
115577n 1
115668n 8011
115864n 5252
116044n 8
116175n 412
116400n 5
116543n 109
116648n 3
116734n 16
116928n 21
117009n 48
117158n 7
117272n 16089
117499n 1361
117688n 19
117809n 4777
118002n 58620
118473n 19
118609n 3228
118820n 37
118957n 396
119094n 427
119259n 1477
119394n 269
119524n 167
119659n 18020
119904n 33434
120027n 4738
120203n 1
120428n 1
120661n 10
120814n 3
120975n 7230
121204n 1206
121321n 1
121396n 1988
121624n 862
121742n 699
121834n 130270
122050n 1533
122286n 217
122451n 216
122612n 1
122785n 1531
122927n 3
123030n 38016
123296n 2
123434n 31253
123557n 523
123740n 61
123826n 1
123940n 3
124054n 1
124168n 7
124304n 225
124446n 1
124550n 20592
124696n 8186
124922n 787
125100n 798
125204n 4525
125433n 15
125534n 1169
125741n 15
125847n 32
125965n 290
126105n 5
126250n 40
126331n 24
126433n 1664
126580n 9419
126923n 10420
127086n 1208
127279n 4693
127412n 29
127574n 1715
127727n 174
127823n 7
127927n 7
128005n 91
128104n 8246
128466n 1
128651n 1
128759n 209
129054n 400
129309n 390
129484n 18
129652n 1
129853n 2941
129996n 3492
130216n 53
130374n 508
130509n 15
130574n 8
130732n 10590
131320n 3
131534n 168
131695n 2295
131888n 179
132040n 1
132169n 776
132428n 4339
132640n 138
132767n 54
132916n 2526
133136n 1629
133369n 1
133506n 15969
133840n 18
134061n 8149
134347n 15736
134597n 1
134791n 10058
135076n 1
135166n 1
135303n 18
135600n 1
135863n 313
136050n 3081
136196n 296
136442n 793
136636n 56510
137197n 10988
137347n 161
137529n 295
137695n 427
137861n 27
137990n 26944
138238n 26264
138473n 235
138569n 2327
138696n 355
138836n 2409
138977n 3154
139244n 320
139439n 424
139624n 38
139828n 4
140035n 389
140144n 2
140218n 236
140360n 510
140466n 398
140644n 176
140890n 219
141081n 2
141277n 5
141479n 488
141610n 1
141761n 1
141973n 2023
142144n 1156
142314n 2853
142541n 1
142636n 763
142724n 73406
143060n 69
143164n 10267
143376n 2
143484n 34
143665n 13
143873n 7556
144118n 5
144233n 5618
144413n 379
144624n 17
144790n 5578
144916n 5022
145068n 37114
145340n 412
145540n 32811
145801n 13
146006n 173
146197n 3
146410n 239
146589n 7471
146896n 48
147069n 5
147218n 156
147392n 6
147489n 2357
147724n 121
147911n 1024
148171n 99501
148444n 1
148589n 2576
148813n 9
149002n 2
149082n 7918
149310n 69574
149568n 5
149930n 5168
150039n 1982
150258n 1472
150482n 611
150629n 1676
150908n 132
151082n 55
151306n 66
151424n 163
151541n 6881
151697n 5985
151913n 57
152112n 7
152253n 222435
152613n 929
152749n 148
152898n 906
153065n 64
153246n 16
153427n 10
153642n 150487
154057n 10149
154225n 6170
154398n 838
154618n 23
154767n 16540
155140n 885
155333n 4258
155567n 2344
155768n 20564
155966n 1
156145n 9
156265n 1279
156530n 5816
156760n 13
156909n 75365
157139n 66019
157319n 46381
157516n 6130
157666n 21111
157811n 6711
158026n 6711
158194n 15839
158328n 1
158512n 3213
158698n 86
158869n 5
158985n 55722
159253n 1371
159406n 20183
159641n 73
159777n 19909
159994n 3
160123n 1
160283n 1468
160477n 1
160644n 1
160812n 4235
161008n 6
161115n 1
161182n 2423
161316n 28037
161548n 1
161747n 8616
161914n 2210
162124n 8
162315n 768
162459n 734
162589n 118
162732n 509
162840n 195
162952n 208455
163396n 76
163506n 4086
163710n 97
163984n 10525
164208n 32326
164332n 22
164465n 107
164617n 43208
164868n 21
164987n 15
165155n 1
165379n 10
165638n 1
165810n 27
166080n 6
166257n 1
166517n 1
166654n 16
166814n 2
166971n 1
167174n 1
167307n 788
167628n 1498
167818n 232
168059n 19
168212n 1
168584n 281
168705n 233
168837n 227
168977n 452
169071n 8
169221n 9
169326n 834
169522n 5054
169629n 18222
169862n 2399
169981n 9
170155n 4430
170340n 5839
170679n 1466
170871n 14068
171082n 1
171264n 15
171386n 60
171531n 1546
171672n 25007
172086n 35897
172308n 2196
172444n 8207
172596n 6
172770n 1
172957n 3
173113n 469
173230n 55
173378n 13218
173775n 60
173915n 2
174142n 80
174280n 1
174431n 1
174581n 5
174749n 55
174872n 1436
175075n 3564
175206n 4
175380n 1
175546n 129
175912n 21
176210n 105
176295n 76585
176717n 1
176805n 1
176998n 11056
177160n 118
177371n 6995
177551n 2722
177668n 7978
177844n 3
177952n 1
178123n 8225
178269n 135
178437n 8
178609n 2460
178760n 49
178922n 2
179011n 20969
179342n 1
179486n 1
179626n 20
179784n 1
179877n 1638
180007n 409
180211n 9264
180359n 31
180570n 3209116
181372n 459
181541n 17
181692n 6476
181849n 4
182005n 17281
182266n 277
182453n 10
182579n 4715
182788n 1156
183004n 1
183193n 5
183387n 1
183509n 105
183639n 44
183796n 9
184027n 8
184213n 150
184351n 5684
184558n 5223
184779n 6007
184933n 390
185302n 410
185448n 9691
185766n 1
185849n 12549
186212n 38
186500n 1
186593n 102
186783n 13
186974n 494
187154n 4896
187500n 15
187652n 127
187833n 16073
188013n 56
188175n 74
188301n 12321
188512n 689597
189089n 14137
189405n 543
189608n 79
189743n 161
189927n 3627
190132n 436
190422n 7727
190597n 20
190725n 235
190880n 7880
191132n 1740
191493n 19792
191829n 24
192025n 7323
192229n 269
192417n 7
192551n 19306
192858n 1
192962n 5218
193231n 269
193408n 4086
193543n 7
193648n 4549
193868n 2565
194023n 36
194151n 1259
194287n 1647
194575n 3
194769n 514
194875n 954
195117n 1866
195356n 671
195528n 5957
195826n 1
196005n 13
196153n 3114
196550n 248
196678n 39
196866n 7
197005n 2080
197384n 2
197519n 157
197765n 501
197938n 4
198041n 618
198187n 526
198376n 1496
198545n 4
198690n 464
198790n 584
198924n 5
199033n 1
199187n 235865
199744n 20255
200023n 14301
200166n 13239
200336n 47751
200688n 20
200819n 1
201002n 1
201291n 187
201431n 3536
201603n 66
201777n 4
201904n 25
202034n 20952
202278n 4036
202412n 90
202569n 1442
202708n 322
202920n 16729
203129n 3512
203356n 1542
203523n 1
203734n 3
204002n 1
204221n 2
204522n 894
204695n 1
204844n 793
204999n 250
205199n 1018
205335n 21148
205750n 1
205857n 2156
205950n 16692
206364n 3269
206458n 4966
206638n 1818
206887n 139
207050n 208
207269n 17
207444n 19
207595n 2
207744n 26
207854n 80466
208305n 25
208417n 20920
208562n 1
208680n 173
208847n 34395
209043n 1
209240n 508
209353n 31379
209797n 9115
209984n 1
210099n 9
210215n 47
210333n 5
210410n 3
210487n 722
210615n 10406
210724n 1706
210987n 1
211160n 7
211365n 1
211489n 1
211583n 4
211787n 6
211932n 1035
212066n 541
212195n 1757
212452n 209
212568n 22
212707n 386
212905n 39
213039n 38
213119n 2283
213330n 1
213453n 1
213562n 608
213755n 495
214076n 566
214288n 969
214480n 7
214680n 1
214920n 275
215106n 1
215233n 45
215453n 10
215564n 1553
215799n 2
215920n 21
216029n 17
216132n 53
216234n 1157
216468n 6333
216695n 1
216844n 2277
216967n 18
217193n 5257
217520n 3
217621n 2
217747n 29
217867n 716
218105n 1277
218257n 1909
218390n 343
218618n 1
218739n 2
218912n 1
219076n 20
219230n 1
219327n 5
219482n 6381
219802n 4912
220062n 72
220301n 5615
220519n 1
220680n 16
220778n 72
221125n 3
221299n 202
221527n 43
221708n 54
221893n 1
222071n 6
222217n 194
222469n 194
222686n 1520
222868n 146
223002n 894
223229n 183486
223987n 243
224374n 4669
224614n 549
224746n 11633
224871n 57771
225482n 1
225646n 5552
225798n 17610
226102n 1
226303n 709
226554n 1
226647n 3
226800n 1
227006n 14535
