wnver::2.0
1740n 89190604 ROOT
2056n 3344817
2342n 0
2452n 10
2560n 74
2645n 18196642
3009n 16513935
3226n 16423609
4358n 4
4483n 0
4609n 63280
4740n 0
4824n 26980
5598n 15729489
6026n 14820304
12748n 910777
14510n 451860
16236n 55559069
17087n 1646439
17572n 5739896
18827n 827559
19244n 18101131
20136n 144850
20333n 13993487 ROOT
20486n 43773424 ROOT
20729n 12675394
21213n 341418
21668n 976674
22625n 8658580
23103n 1349425
23548n 688338
23929n 15257
24197n 2
24304n 1620
24568n 6866507 ROOT
25950n 6334458 ROOT
26194n 18830796 ROOT
26769n 10938599 ROOT
27371n 2315908 ROOT
27563n 10255230
27929n 19018549
28549n 15369217
28764n 15348358
29305n 13659150
29881n 2867450 ROOT
30147n 72921
30242n 32522
30427n 2
30589n 1684736
31097n 189
31291n 404
31461n 210
31742n 8
31905n 1292561
32426n 581
32510n 15
32620n 7134
32816n 5677875
33487n 4
33574n 131353
33885n 35
34175n 56
34333n 41992
34505n 229
34591n 18282
34839n 2323
35034n 145
35210n 1151
35372n 20165
35618n 158
35725n 0
35984n 19573
36142n 12459
36350n 13332
36630n 24660
36776n 2
36902n 730
37061n 119545
37473n 115691
37703n 4283
37919n 123534
38274n 0
38353n 120067
38749n 24088
39042n 48994
39290n 229618
39595n 7332
39813n 5087
40040n 86
40235n 4
40371n 276202
40767n 2093
41028n 25061
41298n 50912
41454n 4947
41632n 118687
42128n 60
42216n 14956
42466n 0
42660n 59
42855n 21918
43051n 78
43161n 63292
43335n 27172
43484n 73818
43766n 989
43938n 19180
44113n 19899
44454n 169
44639n 547
44745n 19
44898n 14
45018n 899
45146n 2695
45304n 26420
45593n 139
45801n 1313
45977n 18671
46167n 552
46282n 18455
46475n 360
46615n 617
46802n 45
46987n 12
47142n 181
47236n 132
47414n 2424
47580n 2632
47871n 91
48100n 45
48177n 26918
48485n 7
48605n 15
48689n 1505
48886n 187
48992n 14253
49341n 28
49496n 4806
49632n 631
49848n 1
50037n 1
50125n 919
50443n 1
50603n 2
50742n 1
50879n 354
51103n 1086
51343n 1
51480n 2
51704n 1422
51954n 0
52098n 81
52278n 4190
52449n 1841
52540n 1
52796n 46
53041n 26
53131n 413
53313n 1417
53402n 11
53537n 50638
53901n 32142
54150n 2440
54326n 29238
54502n 245
54669n 256
54763n 8033
54975n 219
55188n 407
55322n 0
55520n 20
55673n 325
55830n 116
55949n 1357
56112n 0
56257n 21702
56451n 70
56576n 1586
56792n 19369
56972n 2
57092n 677
57312n 0
57447n 202274
57655n 22105
57951n 273
58200n 187
58293n 167378
58659n 4663
58792n 224
58991n 277
59106n 20067
59391n 16078
59681n 8
59799n 733
59919n 1891
60001n 46
60139n 13665
60419n 7134
60639n 0
