wnver::2.0
1740n 1094911 ROOT
2056n 33607
2342n 1
2452n 2
2560n 6
2645n 155645
3009n 303675
3226n 302368
4358n 1
4483n 1
4609n 1061
4740n 1
4824n 244
5598n 280274
6026n 269599
12748n 19568
14510n 10990
16236n 643252
17087n 16185
17572n 64906
18827n 9401
19244n 155302
20136n 987
20333n 147408 ROOT
20486n 338630 ROOT
20729n 118412
21213n 4837
21668n 24158
22625n 71772
23103n 10665
23548n 6976
23929n 53
24197n 1
24304n 7
24568n 68764 ROOT
25950n 56278 ROOT
26194n 154047 ROOT
26769n 74237 ROOT
27371n 15434 ROOT
27563n 95876
27929n 149958
28549n 129944
28764n 129916
29305n 85122
29881n 23092 ROOT
30147n 691
30242n 831
30427n 1
30589n 13687
31097n 6
31291n 1
31461n 1
31742n 1
31905n 10932
32426n 2
32510n 1
32620n 52
32816n 46299
33487n 1
33574n 774
33885n 1
34175n 1
34333n 45
34505n 1
34591n 8
34839n 5
35034n 1
35210n 1
35372n 35
35618n 1
35725n 1
35984n 26
36142n 9
36350n 38
36630n 334
36776n 1
36902n 2
37061n 646
37473n 712
37703n 10
37919n 2391
38274n 1
38353n 766
38749n 152
39042n 300
39290n 1387
39595n 38
39813n 4
40040n 2
40235n 1
40371n 2153
40767n 1
41028n 211
41298n 429
41454n 39
41632n 1375
42128n 1
42216n 22
42466n 1
42660n 1
42855n 28
43051n 1
43161n 108
43335n 171
43484n 539
43766n 1
43938n 160
44113n 52
44454n 3
44639n 5
44745n 1
44898n 1
45018n 4
45146n 1
45304n 246
45593n 16
45801n 1
45977n 215
46167n 1
46282n 215
46475n 1
46615n 3
46802n 1
46987n 1
47142n 2
47236n 1
47414n 5
47580n 10
47871n 2
48100n 1
48177n 1089
48485n 1
48605n 1
48689n 3
48886n 2
48992n 74
49341n 1
49496n 33
49632n 3
49848n 1
50037n 1
50125n 4
50443n 1
50603n 1
50742n 1
50879n 1
51103n 2
51343n 1
51480n 1
51704n 29
51954n 1
52098n 1
52278n 1
52449n 4
52540n 1
52796n 2
53041n 1
53131n 2
53313n 986
53402n 1
53537n 425
53901n 121
54150n 29
54326n 84
54502n 1
54669n 2
54763n 220
54975n 1
55188n 1
55322n 1
55520n 1
55673n 3
55830n 1
55949n 75
56112n 1
56257n 168
56451n 3
56576n 2
56792n 161
56972n 1
57092n 2
57312n 1
57447n 1961
57655n 30
57951n 1
58200n 1
58293n 1876
58659n 5
58792n 1
58991n 8
59106n 261
59391n 223
59681n 1
59799n 33
59919n 1
60001n 1
60139n 176
60419n 53
60639n 1
60780n 2493
60961n 50
61200n 1607
61465n 7
61674n 1
61775n 139
61918n 5
62029n 437
62171n 303
62446n 4
62626n 2
62789n 10
63073n 1
63175n 1
63321n 47
63480n 1
63593n 10
63864n 1
64024n 2
64105n 1
64235n 2
64338n 1
64497n 1
64635n 2
64783n 7
64882n 1
65061n 1
65191n 1
65349n 800
65894n 1
66048n 1
66212n 46
66405n 95
66617n 35
66835n 3
66952n 5
67176n 1
67321n 2
67608n 1
67796n 1
67911n 30
68175n 1
68407n 4
68507n 58
68673n 109
69119n 1
69270n 18
69417n 1
69589n 26
69711n 4
69871n 1
69995n 29
70122n 1
70192n 1
70362n 23
70683n 313
70950n 1
71120n 327
71557n 1
71682n 13
71900n 1
72076n 1
72183n 1
72450n 1
72647n 50
72841n 10
73027n 7
73232n 1
73381n 1
73537n 1
73725n 1
73871n 1
74103n 1
74248n 1
74372n 594
74597n 399
74803n 1
75024n 1
75201n 9
75465n 2
75710n 1
75852n 1
75976n 1
76118n 9
76329n 18
76445n 2
76835n 7
77023n 5
77160n 14
77304n 1
77550n 53
77713n 12
77984n 1
78237n 1
78383n 1
78561n 34
78774n 4
79020n 3
79171n 17
79483n 1
79640n 2
79890n 1
79997n 7
80152n 13
80454n 1
80599n 4
80804n 124
81044n 8
81230n 3
81522n 1
81735n 1
81849n 212
82093n 158
82395n 45
82601n 1
82718n 220
83024n 1
83258n 1
83443n 1
83620n 14
83742n 14
83959n 1
84128n 60
84362n 10
84583n 5
84753n 1
84852n 4
85019n 2
85128n 1
85242n 1
85326n 1
85561n 1
85715n 1
85994n 1
86178n 1
86344n 2
86465n 1
86692n 1
86821n 139
87212n 1
87339n 59
87564n 9
87824n 4
88112n 4
88278n 1
88445n 30
88653n 25
88826n 75
89197n 1
89295n 7
89535n 1
89667n 1
89837n 7
90044n 1
90175n 58
90293n 1
90446n 1
90568n 5
90672n 1
90828n 73
91229n 1
91357n 2
91561n 475
91740n 1
91856n 1
91978n 1
92150n 2
92299n 1
92510n 7
92662n 110
92896n 2
92967n 670
93151n 1
93257n 12
93603n 1
93717n 5
93905n 35
94124n 4
94284n 1
94422n 3
94523n 5
94753n 1
94876n 1
95088n 1
95171n 2
95493n 1
95641n 1
95854n 53
96005n 1
96133n 52
96304n 50
96451n 1
96548n 103
96802n 1
96952n 1
97112n 13
97235n 699
97670n 5
97858n 7
97965n 16
98173n 85
98318n 2
98514n 148
98798n 33
98966n 288
99398n 1
99560n 3
99688n 1
99809n 1
99951n 2
100054n 20
100205n 1
100338n 1
100529n 1
100714n 1
100814n 35
101060n 1
101178n 1
101331n 1
101478n 1
101594n 1
101740n 1
101927n 183
102112n 1
102233n 1
102398n 29
102756n 1
102863n 2
103054n 1
103143n 1
103273n 2
103531n 1
103667n 16
103812n 1
103937n 1
104116n 1
104239n 1
104349n 1
104462n 1
104589n 192
104951n 3
105105n 2
105274n 3
105390n 154
105827n 11
106021n 6
106249n 1
106390n 2
106593n 1
106726n 422
107166n 11
107331n 236
107587n 2
107795n 6
107962n 28
108098n 1
108303n 122
108417n 1
108671n 78
108982n 64
109284n 1
109419n 1
109562n 1
109873n 10
110106n 2
110255n 43
110564n 66
110741n 1
110848n 36
111029n 11
111375n 2
111506n 1
111593n 2
111698n 1
111864n 8
112008n 370
112333n 1
112450n 9
112642n 319
112949n 19
113081n 1
113238n 3
113377n 3
113600n 33
113800n 20
