wnver::2.0
1740n 1107633 ROOT
2056n 30363
2342n 2
2452n 2
2560n 3
2645n 216600
3009n 226026
3226n 225345
4358n 1
4483n 1
4609n 334
4740n 1
4824n 344
5598n 206671
6026n 196422
12748n 12105
14510n 14656
16236n 699103
17087n 24600
17572n 67355
18827n 10429
19244n 214987
20136n 1617
20333n 138569 ROOT
20486n 529636 ROOT
20729n 125284
21213n 2545
21668n 10739
22625n 102930
23103n 14249
23548n 7902
23929n 133
24197n 1
24304n 20
24568n 84401 ROOT
25950n 93014 ROOT
26194n 256534 ROOT
26769n 178969 ROOT
27371n 71609 ROOT
27563n 109060
27929n 223168
28549n 191110
28764n 190921
29305n 187478
29881n 38441 ROOT
30147n 386
30242n 264
30427n 1
30589n 21138
31097n 7
31291n 1
31461n 4
31742n 1
31905n 16358
32426n 5
32510n 1
32620n 364
32816n 70447
33487n 1
33574n 636
33885n 1
34175n 1
34333n 240
34505n 1
34591n 69
34839n 8
35034n 1
35210n 25
35372n 168
35618n 2
35725n 1
35984n 164
36142n 69
36350n 78
36630n 136
36776n 1
36902n 10
37061n 3250
37473n 1098
37703n 158
37919n 1154
38274n 1
38353n 1003
38749n 253
39042n 788
39290n 1641
39595n 62
39813n 30
40040n 1
40235n 1
40371n 2884
40767n 187
41028n 582
41298n 1731
41454n 137
41632n 989
42128n 2
42216n 218
42466n 1
42660n 1
42855n 331
43051n 2
43161n 417
43335n 245
43484n 984
43766n 1
43938n 186
44113n 127
44454n 3
44639n 8
44745n 1
44898n 2
45018n 5
45146n 29
45304n 413
45593n 2
45801n 8
45977n 377
46167n 19
46282n 360
46475n 2
46615n 4
46802n 1
46987n 1
47142n 3
47236n 1
47414n 31
47580n 38
47871n 3
48100n 1
48177n 151
48485n 1
48605n 1
48689n 10
48886n 2
48992n 359
49341n 1
49496n 101
49632n 9
49848n 1
50037n 1
50125n 10
50443n 1
50603n 1
50742n 1
50879n 7
51103n 6
51343n 1
51480n 12
51704n 26
51954n 1
52098n 10
52278n 153
52449n 7
52540n 1
52796n 2
53041n 1
53131n 2
53313n 13
53402n 1
53537n 1728
53901n 1509
54150n 22
54326n 1469
54502n 1
54669n 16
54763n 57
54975n 1
55188n 14
55322n 1
55520n 1
55673n 2
55830n 3
55949n 69
56112n 1
56257n 196
56451n 1
56576n 11
56792n 180
56972n 1
57092n 4
57312n 1
57447n 2788
57655n 334
57951n 10
58200n 2
58293n 2087
58659n 35
58792n 16
58991n 2
59106n 422
59391n 312
59681n 1
59799n 3
59919n 68
60001n 1
60139n 73
60419n 365
60639n 1
60780n 3009
60961n 175
61200n 2357
61465n 31
61674n 1
61775n 374
61918n 64
62029n 1150
62171n 242
62446n 19
62626n 35
62789n 9
63073n 1
63175n 34
63321n 36
63480n 1
63593n 18
63864n 1
64024n 1
64105n 1
64235n 1
64338n 3
64497n 1
64635n 1
64783n 7
64882n 1
65061n 8
65191n 1
65349n 607
65894n 1
66048n 1
66212n 33
66405n 78
66617n 29
66835n 3
66952n 13
67176n 7
67321n 2
67608n 1
67796n 3
67911n 21
68175n 1
68407n 27
68507n 182
68673n 153
69119n 4
69270n 4
69417n 1
69589n 54
69711n 2
69871n 2
69995n 20
70122n 1
70192n 1
70362n 59
70683n 282
70950n 2
71120n 2548
71557n 1
71682n 24
71900n 2
72076n 1
72183n 1
72450n 1
72647n 1203
72841n 80
73027n 1686
73232n 5
73381n 282
73537n 7
73725n 5
73871n 16
74103n 1
74248n 1
74372n 349
74597n 338
74803n 1
75024n 1
75201n 744
75465n 288
75710n 225
75852n 1
75976n 1
76118n 44
76329n 23
76445n 46
76835n 416
77023n 370
77160n 29
77304n 9
77550n 213
77713n 78
77984n 1
78237n 1
78383n 1
78561n 44
78774n 2
79020n 3
79171n 6
79483n 1
79640n 6
79890n 1
79997n 6
80152n 26
80454n 5
80599n 3
80804n 125
81044n 53
81230n 6
81522n 3
81735n 1
81849n 120
82093n 83
82395n 4
82601n 1
82718n 371
83024n 1
83258n 1
83443n 9
83620n 41
83742n 40
83959n 1
84128n 85
84362n 18
84583n 12
84753n 7
84852n 4
85019n 2
85128n 1
