wnver::2.0
1740n 1033528 ROOT
2056n 27622
2342n 1
2452n 1
2560n 2
2645n 204790
3009n 204950
3226n 204419
4358n 0
4483n 0
4609n 332
4740n 0
4824n 198
5598n 193744
6026n 184870
12748n 7989
14510n 9732
16236n 652201
17087n 23018
17572n 60619
18827n 9020
19244n 203181
20136n 1514
20333n 133677 ROOT
20486n 517896 ROOT
20729n 120878
21213n 2501
21668n 10298
22625n 98158
23103n 13733
23548n 7797
23929n 120
24197n 0
24304n 17
24568n 81016 ROOT
25950n 90854 ROOT
26194n 249551 ROOT
26769n 170508 ROOT
27371n 70848 ROOT
27563n 105636
27929n 217241
28549n 185970
28764n 185802
29305n 185234
29881n 36797 ROOT
30147n 385
30242n 254
30427n 0
30589n 20628
31097n 2
31291n 0
31461n 3
31742n 0
31905n 15926
32426n 4
32510n 0
32620n 363
32816n 68464
33487n 0
33574n 627
33885n 0
34175n 0
34333n 229
34505n 0
34591n 65
34839n 7
35034n 0
35210n 24
35372n 163
35618n 1
35725n 0
35984n 162
36142n 68
36350n 73
36630n 134
36776n 0
36902n 9
37061n 3196
37473n 1066
37703n 152
37919n 1126
38274n 0
38353n 978
38749n 240
39042n 778
39290n 1617
39595n 56
39813n 27
40040n 0
40235n 0
40371n 2766
40767n 186
41028n 563
41298n 1706
41454n 124
41632n 939
42128n 1
42216n 215
42466n 0
42660n 0
42855n 330
43051n 1
43161n 416
43335n 242
43484n 948
43766n 0
43938n 185
44113n 115
44454n 2
44639n 7
44745n 0
44898n 1
45018n 4
45146n 28
45304n 408
45593n 1
45801n 7
45977n 375
46167n 18
46282n 358
46475n 1
46615n 1
46802n 0
46987n 0
47142n 2
47236n 0
47414n 27
47580n 29
47871n 1
48100n 0
48177n 149
48485n 0
48605n 0
48689n 8
48886n 1
48992n 344
49341n 0
49496n 100
49632n 6
49848n 0
50037n 0
50125n 6
50443n 0
50603n 0
50742n 0
50879n 6
51103n 4
51343n 0
51480n 11
51704n 24
51954n 0
52098n 9
52278n 152
52449n 6
52540n 0
52796n 0
53041n 0
53131n 1
53313n 12
53402n 0
53537n 1705
53901n 1492
54150n 21
54326n 1455
54502n 0
54669n 15
54763n 56
54975n 0
55188n 13
55322n 0
55520n 0
55673n 1
55830n 2
55949n 67
56112n 0
56257n 190
56451n 0
56576n 10
56792n 178
56972n 0
57092n 2
57312n 0
57447n 2747
57655n 331
57951n 9
58200n 1
58293n 2053
58659n 34
58792n 15
58991n 1
59106n 419
59391n 311
59681n 0
59799n 2
59919n 67
60001n 0
60139n 72
60419n 363
60639n 0
60780n 2938
60961n 162
61200n 2339
61465n 30
61674n 0
61775n 373
61918n 63
62029n 1148
62171n 241
62446n 18
62626n 34
62789n 7
63073n 0
63175n 33
63321n 26
63480n 0
63593n 10
63864n 0
64024n 0
64105n 0
64235n 0
64338n 2
64497n 0
64635n 0
64783n 6
64882n 0
65061n 7
65191n 0
65349n 568
65894n 0
66048n 0
66212n 32
66405n 77
66617n 28
66835n 2
66952n 9
67176n 6
67321n 1
67608n 0
67796n 2
67911n 19
68175n 0
68407n 26
68507n 168
68673n 143
69119n 3
69270n 3
69417n 0
69589n 53
69711n 1
69871n 1
69995n 19
70122n 0
70192n 0
70362n 58
70683n 280
70950n 1
71120n 2522
71557n 0
71682n 23
71900n 1
72076n 0
72183n 0
72450n 0
72647n 1196
72841n 79
73027n 1680
73232n 4
73381n 281
73537n 6
73725n 4
73871n 15
74103n 0
74248n 0
74372n 348
74597n 337
74803n 0
75024n 0
75201n 739
75465n 286
75710n 224
75852n 0
75976n 0
76118n 43
76329n 22
76445n 45
76835n 414
77023n 369
77160n 28
77304n 8
77550n 198
77713n 74
77984n 0
78237n 0
78383n 0
78561n 36
78774n 1
79020n 1
79171n 5
79483n 0
79640n 4
79890n 0
79997n 5
80152n 24
80454n 4
80599n 2
80804n 120
81044n 51
81230n 5
81522n 2
81735n 0
81849n 114
82093n 82
82395n 2
82601n 0
82718n 369
83024n 0
83258n 0
83443n 8
83620n 40
83742n 39
83959n 0
84128n 84
84362n 14
84583n 10
84753n 6
84852n 3
85019n 0
85128n 0
85242n 0
85326n 0
85561n 0
85715n 153
85994n 0
86178n 0
86344n 12
86465n 0
86692n 0
86821n 457
87212n 0
87339n 80
87564n 3
87824n 3
88112n 28
88278n 0
88445n 4
88653n 4
88826n 258
89197n 0
89295n 0
89535n 7
89667n 7
89837n 2
90044n 0
90175n 5
90293n 3
90446n 2
90568n 0
90672n 7
90828n 278
91229n 0
91357n 24
91561n 767
91740n 0
91856n 0
91978n 0
92150n 1
92299n 2
92510n 7
92662n 26
92896n 0
92967n 80
93151n 0
93257n 40
93603n 1
93717n 9
93905n 51
94124n 2
94284n 0
94422n 1
94523n 4
94753n 0
94876n 0
95088n 1
95171n 4
95493n 0
95641n 0
95854n 140
96005n 18
96133n 54
96304n 54
96451n 0
96548n 155
96802n 0
96952n 9
97112n 32
97235n 615
97670n 9
97858n 2
97965n 1
98173n 43
98318n 3
98514n 69
98798n 24
98966n 408
99398n 29
99560n 6
99688n 0
99809n 0
99951n 6
100054n 27
100205n 1
100338n 0
100529n 7
100714n 0
100814n 45
101060n 0
101178n 0
101331n 2
101478n 0
101594n 1
101740n 0
101927n 145
102112n 0
102233n 0
102398n 9
102756n 0
102863n 2
103054n 2
103143n 0
103273n 0
103531n 0
103667n 7
103812n 0
103937n 0
104116n 0
104239n 0
104349n 0
104462n 0
104589n 904
104951n 16
105105n 1
105274n 4
105390n 605
105827n 14
106021n 6
106249n 2
106390n 1
106593n 0
106726n 150
107166n 6
107331n 52
107587n 3
107795n 4
107962n 41
108098n 5
108303n 1
108417n 0
108671n 284
108982n 59
109284n 0
109419n 0
109562n 0
109873n 1
110106n 0
110255n 7
110564n 6
110741n 1
110848n 1
111029n 4
111375n 1
111506n 0
111593n 0
111698n 0
111864n 3
112008n 274
112333n 0
112450n 4
112642n 172
112949n 26
113081n 0
113238n 0
113377n 8
113600n 89
113800n 61
114079n 7
114338n 5
114540n 0
114772n 35
114964n 28
115095n 104
115388n 9
115577n 0
115668n 32
115864n 21
116044n 0
116175n 1
116400n 0
116543n 0
116648n 0
116734n 0
116928n 0
117009n 1
117158n 0
117272n 40
117499n 6
117688n 0
117809n 26
118002n 604
118473n 0
118609n 241
118820n 0
118957n 1
119094n 2
119259n 12
119394n 1
119524n 7
119659n 76
119904n 224
120027n 69
120203n 0
120428n 0
120661n 0
120814n 1
120975n 58
121204n 11
121321n 0
121396n 13
121624n 3
121742n 8
121834n 956
122050n 12
122286n 1
122451n 0
122612n 0
122785n 12
122927n 0
123030n 532
123296n 0
123434n 0
123557n 4
123740n 0
123826n 0
123940n 0
124054n 0
124168n 0
124304n 19
124446n 0
124550n 226
124696n 117
124922n 41
125100n 6
125204n 31
125433n 0
125534n 9
125741n 0
125847n 0
125965n 2
126105n 0
126250n 1
126331n 0
126433n 10
126580n 177
126923n 25
127086n 19
127279n 149
127412n 0
127574n 7
127727n 2
127823n 0
127927n 0
128005n 0
128104n 22
128466n 0
128651n 0
128759n 10
129054n 0
129309n 0
129484n 0
129652n 0
129853n 1
129996n 5
130216n 0
130374n 4
130509n 0
130574n 0
130732n 113
131320n 0
131534n 0
131695n 7
131888n 58
132040n 0
132169n 2
132428n 64
132640n 2
132767n 0
132916n 40
133136n 0
133369n 0
133506n 66
133840n 1
134061n 144
134347n 143
134597n 0
134791n 124
135076n 0
135166n 0
135303n 0
135600n 0
135863n 0
136050n 17
136196n 0
136442n 7
136636n 690
137197n 246
137347n 0
137529n 2
137695n 0
137861n 0
137990n 331
138238n 331
138473n 1
138569n 6
138696n 0
138836n 1
138977n 15
139244n 3
139439n 11
139624n 0
139828n 0
140035n 2
140144n 0
140218n 4
140360n 4
140466n 2
140644n 1
140890n 1
141081n 0
141277n 0
141479n 0
141610n 0
141761n 0
141973n 6
142144n 3
142314n 16
142541n 0
142636n 8
142724n 727
143060n 0
143164n 124
143376n 0
143484n 0
143665n 0
143873n 115
144118n 0
144233n 110
144413n 4
144624n 0
144790n 110
144916n 80
145068n 345
145340n 1
145540n 322
145801n 0
146006n 1
146197n 0
146410n 1
146589n 72
146896n 0
147069n 0
147218n 1
147392n 0
147489n 20
147724n 0
147911n 6
148171n 876
148444n 0
148589n 55
148813n 0
149002n 0
149082n 158
149310n 528
149568n 0
149930n 31
150039n 25
150258n 19
150482n 2
150629n 26
150908n 0
151082n 0
151306n 0
151424n 0
151541n 52
151697n 50
151913n 17
152112n 0
152253n 4142
152613n 20
152749n 0
152898n 0
153065n 0
153246n 0
153427n 0
153642n 2941
154057n 135
154225n 37
154398n 17
154618n 0
154767n 117
155140n 16
155333n 25
155567n 18
155768n 343
155966n 0
156145n 0
156265n 8
156530n 34
156760n 0
156909n 2055
157139n 1523
157319n 1059
157516n 9
157666n 982
157811n 486
158026n 486
158194n 64
158328n 0
158512n 1
158698n 3
158869n 0
158985n 1591
159253n 10
159406n 476
159641n 0
159777n 1385
159994n 0
160123n 0
160283n 3
160477n 0
160644n 0
160812n 32
161008n 0
161115n 0
161182n 19
161316n 1439
161548n 0
161747n 118
161914n 7
162124n 1
162315n 9
162459n 9
162589n 0
162732n 12
162840n 1
162952n 1458
163396n 0
163506n 17
163710n 3
163984n 138
164208n 65
164332n 0
164465n 0
164617n 1425
164868n 0
164987n 0
165155n 4
165379n 2
165638n 0
165810n 25
166080n 1
166257n 5
166517n 0
166654n 19
166814n 0
166971n 0
167174n 0
167307n 5
167628n 16
167818n 0
168059n 0
168212n 0
168584n 6
168705n 1
168837n 2
168977n 6
169071n 0
169221n 0
169326n 2
169522n 9
169629n 86
169862n 13
169981n 0
170155n 74
170340n 63
170679n 9
170871n 158
171082n 0
171264n 0
171386n 0
171531n 6
171672n 232
172086n 445
172308n 2
172444n 70
172596n 0
172770n 0
172957n 0
173113n 0
173230n 2
173378n 396
173775n 0
173915n 0
174142n 1
174280n 0
174431n 0
174581n 1
174749n 0
174872n 17
175075n 6
175206n 0
175380n 0
175546n 1
175912n 0
176210n 0
176295n 902
176717n 0
176805n 0
176998n 103
177160n 0
177371n 145
177551n 11
177668n 56
177844n 0
177952n 0
178123n 129
